SPE00156477;2008-01-01;113;-8;0;;
SPE00156477;2008-01-02;117;20;0;;
SPE00156477;2008-01-03;132;15;110;;
SPE00156477;2008-01-04;122;69;224;;
SPE00156477;2008-01-05;144;84;18;;
SPE00156477;2008-01-06;213;75;0;;
SPE00156477;2008-01-07;190;71;0;;
SPE00156477;2008-01-08;137;101;0;;
SPE00156477;2008-01-09;138;88;0;;
SPE00156477;2008-01-10;154;87;0;;
SPE00156477;2008-01-11;172;73;80;;
SPE00156477;2008-01-12;127;48;2;;
SPE00156477;2008-01-13;139;18;0;;
SPE00156477;2008-01-14;143;67;0;;
SPE00156477;2008-01-15;149;25;0;;
SPE00156477;2008-01-16;131;70;0;;
SPE00156477;2008-01-17;168;61;0;;
SPE00156477;2008-01-18;206;93;0;;
SPE00156477;2008-01-19;192;93;0;;
SPE00156477;2008-01-20;161;55;0;;
SPE00156477;2008-01-21;168;55;0;;
SPE00156477;2008-01-22;199;45;0;;
SPE00156477;2008-01-23;177;43;0;;
SPE00156477;2008-01-24;146;12;0;;
SPE00156477;2008-01-25;192;37;0;;
SPE00156477;2008-01-26;138;37;0;;
SPE00156477;2008-01-27;219;5;0;;
SPE00156477;2008-01-28;212;48;0;;
SPE00156477;2008-01-29;141;24;0;;
SPE00156477;2008-01-30;149;26;0;;
SPE00156477;2008-01-31;141;34;0;;
SPE00156477;2008-02-01;125;33;20;;
SPE00156477;2008-02-02;137;63;0;;
SPE00156477;2008-02-03;143;32;0;;
SPE00156477;2008-02-04;150;41;0;;
SPE00156477;2008-02-05;172;14;0;;
SPE00156477;2008-02-06;188;18;0;;
SPE00156477;2008-02-07;205;62;0;;
SPE00156477;2008-02-08;164;51;0;;
SPE00156477;2008-02-09;153;22;0;;
SPE00156477;2008-02-10;145;1;0;;
SPE00156477;2008-02-11;142;15;0;;
SPE00156477;2008-02-12;137;21;0;;
SPE00156477;2008-02-13;143;6;0;;
SPE00156477;2008-02-14;145;47;2;;
SPE00156477;2008-02-15;145;21;0;;
SPE00156477;2008-02-16;121;18;0;;
SPE00156477;2008-02-17;136;61;0;;
SPE00156477;2008-02-18;137;63;6;;
SPE00156477;2008-02-19;132;108;42;;
SPE00156477;2008-02-20;134;90;4;;
SPE00156477;2008-02-21;165;65;0;;
SPE00156477;2008-02-22;193;59;0;;
SPE00156477;2008-02-23;183;55;0;;
SPE00156477;2008-02-24;151;92;0;;
SPE00156477;2008-02-25;159;107;6;;
SPE00156477;2008-02-26;190;122;0;;
SPE00156477;2008-02-27;197;87;0;;
SPE00156477;2008-02-28;166;75;0;;
SPE00156477;2008-02-29;205;90;0;;
SPE00156477;2008-03-01;210;104;0;;
SPE00156477;2008-03-02;197;86;0;;
SPE00156477;2008-03-03;191;68;0;;
SPE00156477;2008-03-04;142;60;0;;
SPE00156477;2008-03-05;96;56;0;;
SPE00156477;2008-03-06;116;45;0;;
SPE00156477;2008-03-07;137;83;0;;
SPE00156477;2008-03-08;176;76;0;;
SPE00156477;2008-03-09;169;83;162;;
SPE00156477;2008-03-10;147;45;0;;
SPE00156477;2008-03-11;200;63;0;;
SPE00156477;2008-03-12;192;78;0;;
SPE00156477;2008-03-13;190;78;0;;
SPE00156477;2008-03-14;222;64;0;;
SPE00156477;2008-03-15;197;86;0;;
SPE00156477;2008-03-16;178;98;0;;
SPE00156477;2008-03-17;174;53;0;;
SPE00156477;2008-03-18;172;60;0;;
SPE00156477;2008-03-19;137;89;0;;
SPE00156477;2008-03-20;147;72;0;;
SPE00156477;2008-03-21;127;22;0;;
SPE00156477;2008-03-22;137;71;66;;
SPE00156477;2008-03-23;114;42;0;;
SPE00156477;2008-03-24;149;25;0;;
SPE00156477;2008-03-25;192;58;0;;
SPE00156477;2008-03-26;146;64;78;;
SPE00156477;2008-03-27;134;72;0;;
SPE00156477;2008-03-28;175;97;0;;
SPE00156477;2008-03-29;179;106;0;;
SPE00156477;2008-03-30;186;80;58;;
SPE00156477;2008-03-31;158;80;14;;
SPE00156477;2008-04-01;204;114;0;;
SPE00156477;2008-04-02;234;156;0;;
SPE00156477;2008-04-03;211;151;0;;
SPE00156477;2008-04-04;192;93;0;;
SPE00156477;2008-04-05;192;42;0;;
SPE00156477;2008-04-06;188;65;0;;
SPE00156477;2008-04-07;125;84;0;;
SPE00156477;2008-04-08;184;102;0;;
SPE00156477;2008-04-09;230;97;0;;
SPE00156477;2008-04-10;249;95;8;;
SPE00156477;2008-04-11;148;90;6;;
SPE00156477;2008-04-12;181;96;0;;
SPE00156477;2008-04-13;182;84;0;;
SPE00156477;2008-04-14;185;98;12;;
SPE00156477;2008-04-15;172;80;0;;
SPE00156477;2008-04-16;163;44;0;;
SPE00156477;2008-04-17;146;79;114;;
SPE00156477;2008-04-18;168;60;10;;
