"Año";"Periodo";"Parámetro";"2018";"2020"
"2022";"Año";"Andalucía";"128";"138"
"2022";"Año";"Aragón";"129";"134"
"2022";"Año";"Asturias";"140";"136"
"2022";"Año";"Baleares";"121";"117"
"2022";"Año";"C. Valenciana";"175";"157"
"2022";"Año";"Canarias";"135";"125"
"2022";"Año";"Cantabria";"172";"165"
"2022";"Año";"Cataluña";"123";"124"
"2022";"Año";"Ceuta y Melilla";"119";"122"
"2022";"Año";"CLM";"135";"126"
"2022";"Año";"CyL";"148";"144"
"2022";"Año";"España";"133";"133"
"2022";"Año";"Extremadura";"126";"120"
"2022";"Año";"Galicia";"125";"130"
"2022";"Año";"La Rioja";"116";"124"
"2022";"Año";"Madrid";"125";"129"
"2022";"Año";"Murcia";"149";"150"
"2022";"Año";"Navarra";"114";"120"
"2022";"Año";"País Vasco";"104";"97"
;;;
;;;
"Métrica":"2018"
"Fuente":"INE"
"Clasificación":""
"Unidad":"litro/habitante/día"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;
;;;
"Métrica":"2020"
"Fuente":"INE"
"Clasificación":""
"Unidad":"litro/habitante/día"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;
;;;
"Url":"https://www.epdata.es/consumo-medio-agua-hogares-comunidad-autonoma/18cdd93f-e756-4e43-8f5a-68c0473956ae"
"Titulo":"Consumo medio de agua de los hogares por comunidad autónoma"
"Subtitulo":""
