Año;Periodo;Agua embalsada
1992;Semana 6;19.378
1992;Semana 7;19.555
1992;Semana 8;19.543
1992;Semana 9;19.623
1992;Semana 10;19.693
1992;Semana 11;19.719
1992;Semana 12;19.630
1992;Semana 13;19.632
1992;Semana 14;20.688
1992;Semana 15;21.652
1992;Semana 16;22.170
1992;Semana 17;22.523
1992;Semana 18;22.599
1992;Semana 19;22.684
1992;Semana 20;22.504
1992;Semana 21;22.385
1992;Semana 22;22.443
1992;Semana 23;22.714
1992;Semana 24;22.894
1992;Semana 25;23.150
1992;Semana 26;23.351
1992;Semana 27;23.157
1992;Semana 28;22.742
1992;Semana 29;22.160
1992;Semana 30;21.562
1992;Semana 31;21.038
1992;Semana 32;20.544
1992;Semana 33;20.261
1992;Semana 34;19.718
1992;Semana 35;19.227
1992;Semana 36;18.956
1992;Semana 37;18.784
1992;Semana 38;18.381
1992;Semana 39;18.292
1992;Semana 40;18.371
1992;Semana 41;18.414
1992;Semana 42;18.640
1992;Semana 43;18.864
1992;Semana 44;19.102
1992;Semana 45;19.538
1992;Semana 46;19.491
1992;Semana 47;19.673
1992;Semana 48;19.581
1992;Semana 49;20.110
1992;Semana 50;20.806
1992;Semana 51;20.898
1992;Semana 52;20.730
1993;Semana 1;20.424
1993;Semana 2;20.526
1993;Semana 3;20.567
1993;Semana 4;20.429
1993;Semana 5;20.279
1993;Semana 6;20.245
1993;Semana 7;20.174
1993;Semana 8;20.202
1993;Semana 9;20.144
1993;Semana 10;19.981
1993;Semana 11;20.046
1993;Semana 12;20.319
1993;Semana 13;20.470
1993;Semana 14;20.513
1993;Semana 15;20.689
1993;Semana 16;20.639
1993;Semana 17;20.795
1993;Semana 18;21.434
1993;Semana 19;21.824
1993;Semana 20;22.231
1993;Semana 21;22.612
1993;Semana 22;23.527
1993;Semana 23;23.715
1993;Semana 24;23.936
1993;Semana 25;23.785
1993;Semana 26;23.658
1993;Semana 27;23.350
1993;Semana 28;22.782
1993;Semana 29;22.099
1993;Semana 30;21.455
1993;Semana 31;20.924
1993;Semana 32;20.024
1993;Semana 33;19.565
1993;Semana 34;18.873
1993;Semana 35;18.644
1993;Semana 36;18.168
1993;Semana 37;17.781
1993;Semana 38;17.535
1993;Semana 39;17.696
1993;Semana 40;17.708
1993;Semana 41;17.937
1993;Semana 42;20.406
1993;Semana 43;20.897
1993;Semana 44;21.103
1993;Semana 45;21.980
1993;Semana 46;22.116
1993;Semana 47;21.661
1993;Semana 48;21.140
1993;Semana 49;21.046
1993;Semana 50;21.021
1993;Semana 51;20.902
1993;Semana 52;21.211
1994;Semana 1;21.868
1994;Semana 2;23.051
1994;Semana 3;24.191
1994;Semana 4;24.178
1994;Semana 5;24.405
1994;Semana 6;24.456
1994;Semana 7;24.469
1994;Semana 8;24.351
1994;Semana 9;24.773
1994;Semana 10;25.396
1994;Semana 11;25.635
1994;Semana 12;25.604
1994;Semana 13;25.518
1994;Semana 14;25.556
1994;Semana 15;25.521
1994;Semana 16;25.161
1994;Semana 17;24.996
1994;Semana 18;24.921
1994;Semana 19;24.734
1994;Semana 20;24.755
1994;Semana 21;25.802
1994;Semana 22;26.671
1994;Semana 23;26.520
1994;Semana 24;26.183
1994;Semana 25;25.743
1994;Semana 26;25.061
1994;Semana 27;24.427
1994;Semana 28;23.734
1994;Semana 29;22.915
1994;Semana 30;22.251
1994;Semana 31;21.436
1994;Semana 32;20.739
1994;Semana 33;20.100
1994;Semana 34;19.478
1994;Semana 35;18.936
1994;Semana 36;18.398
1994;Semana 37;17.846
1994;Semana 38;17.455
1994;Semana 39;17.291
1994;Semana 40;17.226
1994;Semana 41;17.100
1994;Semana 42;17.294
1994;Semana 43;17.332
1994;Semana 44;17.421
1994;Semana 45;17.958
1994;Semana 46;18.671
1994;Semana 47;18.606
1994;Semana 48;18.459
1994;Semana 49;18.280
1994;Semana 50;18.297
1994;Semana 51;18.212
1994;Semana 52;18.232
1995;Semana 1;18.877
1995;Semana 2;19.381
1995;Semana 3;19.585
1995;Semana 4;19.863
1995;Semana 5;20.390
1995;Semana 6;20.520
1995;Semana 7;20.638
1995;Semana 8;21.764
1995;Semana 9;22.013
1995;Semana 10;22.216
1995;Semana 11;22.530
1995;Semana 12;22.495
1995;Semana 13;22.266
1995;Semana 14;21.991
1995;Semana 15;21.690
1995;Semana 16;21.326
1995;Semana 17;20.965
1995;Semana 18;20.755
1995;Semana 19;20.628
1995;Semana 20;20.467
1995;Semana 21;20.533
1995;Semana 22;20.334
1995;Semana 23;19.958
1995;Semana 24;19.670
1995;Semana 25;19.264
1995;Semana 26;18.829
1995;Semana 27;18.444
1995;Semana 28;18.056
1995;Semana 29;17.600
1995;Semana 30;17.000
1995;Semana 31;16.421
1995;Semana 32;15.855
1995;Semana 33;15.355
1995;Semana 34;14.944
1995;Semana 35;14.498
1995;Semana 36;14.327
1995;Semana 37;13.786
1995;Semana 38;13.553
1995;Semana 39;13.481
1995;Semana 40;13.350
1995;Semana 41;13.231
1995;Semana 42;13.040
1995;Semana 43;12.853
1995;Semana 44;12.817
1995;Semana 45;12.765
1995;Semana 46;12.929
1995;Semana 47;13.807
1995;Semana 48;14.357
